Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,HCHO,Temp,Wind_U,Wind_V,Fire_Count,AOD,Latitude,Longitude,PM2.5_SubIndex,NO2_column_number_density,SO2_column_number_density,CO_column_number_density,O3_column_number_density,Distance_To_Coast,Elevation
2024-02-12,Ahmedabad,66.67,120.62,16.39,44.49,60.06,6.83,9.33,0.61,30.63,0.0002411045953026,295.22575545495795,-0.8499454232149345,-1.8036559265713352,1.0,0.4436348036802171,23.0225,72.5714,120.0,0.0002111275971402,0.0008955886587503,0.0369098223745945,0.1119997128844633,206.36,53.0
2024-02-13,Ahmedabad,51.39,90.92,26.97,67.12,87.61,6.83,9.99,0.55,31.42,0.0005218959052136,295.67162763610366,0.2813384625338768,-1.6192861619845835,3.0,0.4436348036802171,23.0225,72.5714,85.0,0.000255639905629,0.0008955886587503,0.0369098223745945,0.1136459466686279,206.36,53.0
2024-02-14,Ahmedabad,21.75,39.33,34.2,80.84,102.46,6.83,9.67,0.46,31.07,0.0002799763612361,295.6304236271585,0.2649717811466187,-2.184695798297261,4.0,0.4436348036802171,23.0225,72.5714,36.0,0.000280661689296,0.0010088790375115,0.0369098223745945,0.1183422181114555,206.36,53.0
2024-02-15,Ahmedabad,18.2,33.0,36.73,91.46,111.34,6.83,10.25,0.51,34.31,0.0001972139196211,297.2481116657109,-2.683975485868232,-1.97654475722202,2.0,0.4436348036802171,23.0225,72.5714,30.0,0.000105006223703,0.0006625239634566,0.0369098223745945,0.1216323470384582,206.36,53.0
2024-02-16,Ahmedabad,10.53,19.74,33.15,92.44,107.5,6.83,8.35,0.93,36.92,0.0002482691728906,298.01589343344517,-2.693167163420093,-1.9529221556907472,3.0,0.4436348036802171,23.0225,72.5714,18.0,7.001842459433244e-05,0.0009080504532906,0.0445943213999419,0.1202735230327052,206.36,53.0
2024-02-17,Ahmedabad,12.58,22.11,43.53,130.36,140.79,6.83,11.11,0.82,27.0,0.0003236962390681,298.79121218540865,-1.1563694532527478,-1.6593724600104398,3.0,0.4436348036802171,23.0225,72.5714,21.0,0.0002289380936418,0.0002757208421827,0.0445943213999419,0.1219640076160836,206.36,53.0
2024-02-18,Ahmedabad,10.13,17.46,50.6,185.41,185.43,6.83,14.44,0.76,15.26,0.0001074347514698,298.26683303182443,1.3304973535759503,0.3955533744752869,0.0,0.4436348036802171,23.0225,72.5714,17.0,0.0001094183753594,-0.000149223516928,0.0445943213999419,0.1185926944017804,206.36,53.0
2024-02-19,Ahmedabad,49.55,91.11,29.65,121.59,118.84,10.44,7.63,1.04,21.68,4.799098692286728e-05,298.59927900447406,2.824789058330447,0.3721431493759154,1.0,0.4436348036802171,23.0225,72.5714,82.0,0.0001056394394254,0.0001301920856349,0.0382520410964452,0.1185813844204342,206.36,53.0
2024-02-20,Ahmedabad,55.68,96.06,1.86,54.9,56.32,10.44,4.92,1.95,19.05,0.0001451228906187,297.5612321010856,2.1024051932401435,0.5565644576568012,3.0,0.4436348036802171,23.0225,72.5714,93.0,0.0001452699496448,-8.113731083557571e-05,0.0382520410964452,0.120651949909817,206.36,53.0
2024-02-21,Ahmedabad,48.16,84.23,7.92,46.5,52.02,5.99,3.98,1.63,19.88,0.0001577908893763,296.73174479580666,2.623167378033778,-0.1429752074470816,4.0,0.4436348036802171,23.0225,72.5714,80.0,8.389120921495363e-05,0.0003275133785792,0.0367988054507818,0.1206789016724033,206.36,53.0
